loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,application_date,loan_status,age,age_group,gender,employment_status,annual_income,income_group,credit_score,credit_score_group,city,province,branch_name,approved_flag,rejected_flag,defaulted_flag
9017,1595,Mortgage,477140.88,15.9,48,2023-06-11,Approved,40,36-50,Female,Part-time,57568,Middle Income,534,Poor,Saskatoon,Saskatchewan,Saskatoon Main Branch,1,0,0
9018,1177,Student Loan,8484.26,12.72,300,2024-04-26,Approved,30,26-35,Female,Student,21942,Low Income,501,Poor,Regina,Saskatchewan,Regina Main Branch,1,0,0
9019,1370,Mortgage,355396.68,8.98,36,2023-01-17,Approved,50,36-50,Male,Full-time,55898,Middle Income,607,Fair,Saskatoon,Saskatchewan,Saskatoon Main Branch,1,0,0
9020,1575,Personal Loan,24987.16,6.86,60,2023-11-20,Paid Off,68,66+,Other,Full-time,100605,High Income,690,Good,Ottawa,Ontario,Ottawa Main Branch,0,0,0
9021,1610,Business Loan,78401.57,14.99,36,2024-01-02,Defaulted,62,51-65,Female,Part-time,46368,Middle Income,552,Poor,Brampton,Ontario,Brampton Main Branch,0,0,1
9022,1266,Auto Loan,15182.56,15.23,60,2023-04-25,Rejected,33,26-35,Female,Student,20552,Low Income,561,Poor,Hamilton,Ontario,Hamilton Main Branch,0,1,0
9023,1272,Personal Loan,33295.39,18.08,24,2023-02-13,Rejected,43,36-50,Female,Self-employed,46584,Middle Income,496,Poor,Vancouver,British Columbia,Vancouver Main Branch,0,1,0
9024,1549,Mortgage,228123.26,6.37,300,2023-08-08,Approved,53,51-65,Male,Full-time,82466,High Income,684,Good,Hamilton,Ontario,Hamilton Main Branch,1,0,0
9025,1011,Business Loan,76148.83,9.27,240,2023-03-06,Approved,28,26-35,Female,Full-time,81902,High Income,644,Fair,Calgary,Alberta,Calgary Main Branch,1,0,0
9026,1011,Student Loan,14598.37,6.51,48,2024-01-16,Approved,28,26-35,Female,Full-time,81902,High Income,644,Fair,Calgary,Alberta,Calgary Main Branch,1,0,0
9027,1546,Business Loan,90125.39,11.94,60,2024-10-31,Approved,40,36-50,Female,Full-time,98227,High Income,647,Fair,Regina,Saskatchewan,Regina Main Branch,1,0,0
9028,1274,Personal Loan,18075.16,7.83,12,2023-05-18,Approved,36,36-50,Male,Self-employed,114234,High Income,747,Very Good,Hamilton,Ontario,Hamilton Main Branch,1,0,0
9029,1274,Auto Loan,24134.45,8.65,60,2024-02-05,Rejected,36,36-50,Male,Self-employed,114234,High Income,747,Very Good,Hamilton,Ontario,Hamilton Main Branch,0,1,0
9030,1424,Personal Loan,7998.27,7.71,24,2024-07-07,Approved,57,51-65,Male,Full-time,96172,High Income,621,Fair,Mississauga,Ontario,Mississauga Main Branch,1,0,0
9031,1141,Personal Loan,11994.29,17.36,48,2023-06-19,Approved,44,36-50,Female,Full-time,81841,High Income,528,Poor,Edmonton,Alberta,Edmonton Main Branch,1,0,0
9032,1995,Personal Loan,15946.44,17.82,24,2024-12-01,Paid Off,18,18-25,Male,Student,25276,Low Income,582,Fair,Edmonton,Alberta,Edmonton Main Branch,0,0,0
9033,1681,Mortgage,301375.46,12.05,24,2023-04-22,Approved,31,26-35,Female,Full-time,82613,High Income,657,Fair,Edmonton,Alberta,Edmonton Main Branch,1,0,0
9034,1515,Auto Loan,38677.74,12.29,12,2024-06-10,Paid Off,22,18-25,Other,Full-time,83437,High Income,615,Fair,Montreal,Quebec,Montreal Main Branch,0,0,0
9035,1498,Personal Loan,16443.43,15.85,24,2023-07-19,Approved,40,36-50,Male,Student,33076,Middle Income,512,Poor,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9036,1687,Personal Loan,12028.51,12.26,24,2023-12-16,Rejected,60,51-65,Female,Student,25557,Low Income,524,Poor,Montreal,Quebec,Montreal Main Branch,0,1,0
9037,1813,Personal Loan,22587.28,18.11,60,2024-08-08,Approved,52,51-65,Female,Part-time,39705,Middle Income,536,Poor,Halifax,Nova Scotia,Halifax Main Branch,1,0,0
9038,1093,Student Loan,21239.38,13.4,36,2024-12-24,Approved,33,26-35,Female,Full-time,87284,High Income,599,Fair,Montreal,Quebec,Montreal Main Branch,1,0,0
9039,1349,Student Loan,8603.12,6.76,60,2024-02-22,Approved,24,18-25,Male,Self-employed,83439,High Income,740,Very Good,Halifax,Nova Scotia,Halifax Main Branch,1,0,0
9040,1496,Auto Loan,36659.9,12.52,24,2023-06-02,Approved,43,36-50,Male,Student,13506,Low Income,535,Poor,Mississauga,Ontario,Mississauga Main Branch,1,0,0
9041,1013,Business Loan,143481.48,18.05,300,2023-08-09,Approved,41,36-50,Male,Full-time,61561,Middle Income,578,Poor,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9042,1765,Personal Loan,28671.99,11.41,12,2023-11-14,Rejected,36,36-50,Female,Full-time,57574,Middle Income,457,Poor,Saskatoon,Saskatchewan,Saskatoon Main Branch,0,1,0
9043,1781,Personal Loan,16614.23,18.3,36,2024-07-07,Rejected,27,26-35,Male,Student,16642,Low Income,457,Poor,Vancouver,British Columbia,Vancouver Main Branch,0,1,0
9044,1253,Auto Loan,23982.83,9.66,60,2023-02-10,Approved,55,51-65,Female,Full-time,74399,High Income,623,Fair,Vancouver,British Columbia,Vancouver Main Branch,1,0,0
9045,1874,Auto Loan,29310.55,12.42,48,2024-12-05,Approved,66,66+,Male,Unemployed,22544,Low Income,632,Fair,Toronto,Ontario,Toronto Main Branch,1,0,0
9046,1874,Mortgage,525874.32,9.62,36,2023-07-16,Approved,66,66+,Male,Unemployed,22544,Low Income,632,Fair,Toronto,Ontario,Toronto Main Branch,1,0,0
9047,1627,Personal Loan,24524.75,15.0,48,2023-02-18,Approved,66,66+,Female,Full-time,85390,High Income,591,Fair,Halifax,Nova Scotia,Halifax Main Branch,1,0,0
9048,1656,Student Loan,24940.78,15.89,24,2024-11-01,Rejected,26,26-35,Male,Retired,12000,Low Income,580,Fair,Edmonton,Alberta,Edmonton Main Branch,0,1,0
9049,1589,Personal Loan,14847.0,15.47,36,2024-03-04,Approved,48,36-50,Female,Student,13678,Low Income,576,Poor,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9050,1247,Personal Loan,28731.46,5.57,48,2023-06-25,Rejected,49,36-50,Male,Full-time,84697,High Income,692,Good,Hamilton,Ontario,Hamilton Main Branch,0,1,0
9051,1467,Personal Loan,21152.74,10.47,120,2024-06-10,Approved,54,51-65,Female,Full-time,100707,High Income,649,Fair,Mississauga,Ontario,Mississauga Main Branch,1,0,0
9052,1467,Personal Loan,16783.85,11.07,48,2023-11-26,Approved,54,51-65,Female,Full-time,100707,High Income,649,Fair,Mississauga,Ontario,Mississauga Main Branch,1,0,0
9053,1790,Personal Loan,2000.0,8.22,120,2023-09-02,Approved,25,18-25,Female,Full-time,105714,High Income,677,Good,Montreal,Quebec,Montreal Main Branch,1,0,0
9054,1867,Auto Loan,31708.75,8.08,60,2024-01-28,Rejected,63,51-65,Male,Part-time,30693,Middle Income,680,Good,Toronto,Ontario,Toronto Main Branch,0,1,0
9055,1564,Personal Loan,18688.04,11.72,60,2023-09-07,Approved,66,66+,Female,Self-employed,52460,Middle Income,592,Fair,Surrey,British Columbia,Surrey Main Branch,1,0,0
9056,1035,Business Loan,149270.54,9.89,24,2023-10-09,Paid Off,59,51-65,Male,Full-time,84112,High Income,631,Fair,Quebec City,Quebec,Quebec City Main Branch,0,0,0
9057,1103,Personal Loan,24207.42,10.25,60,2023-05-03,Approved,46,36-50,Female,Full-time,51531,Middle Income,625,Fair,Calgary,Alberta,Calgary Main Branch,1,0,0
9058,1108,Personal Loan,24682.67,8.49,240,2023-02-28,Approved,24,18-25,Female,Full-time,81316,High Income,757,Very Good,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9059,1140,Personal Loan,10588.2,9.07,24,2024-02-10,Approved,39,36-50,Female,Part-time,65340,Middle Income,625,Fair,Calgary,Alberta,Calgary Main Branch,1,0,0
9060,1279,Personal Loan,24847.15,11.4,120,2024-02-18,Approved,58,51-65,Female,Part-time,12000,Low Income,584,Fair,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9061,1279,Auto Loan,24789.19,12.53,120,2023-02-01,Approved,58,51-65,Female,Part-time,12000,Low Income,584,Fair,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9062,1914,Business Loan,115166.53,9.06,36,2023-01-28,Approved,51,51-65,Female,Full-time,73386,High Income,682,Good,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9063,1659,Mortgage,357191.61,14.89,300,2023-08-20,Rejected,31,26-35,Female,Unemployed,18046,Low Income,507,Poor,Vancouver,British Columbia,Vancouver Main Branch,0,1,0
9064,1412,Student Loan,13467.29,13.38,36,2024-09-14,Rejected,41,36-50,Female,Full-time,65001,Middle Income,539,Poor,Surrey,British Columbia,Surrey Main Branch,0,1,0
9065,1472,Auto Loan,18014.72,14.24,300,2023-07-24,Approved,61,51-65,Female,Full-time,89338,High Income,581,Fair,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9066,1725,Auto Loan,25719.68,7.91,48,2023-03-23,Defaulted,36,36-50,Female,Part-time,36661,Middle Income,643,Fair,Surrey,British Columbia,Surrey Main Branch,0,0,1
9067,1394,Mortgage,381760.76,14.79,36,2023-09-12,Paid Off,63,51-65,Female,Full-time,65306,Middle Income,527,Poor,Ottawa,Ontario,Ottawa Main Branch,0,0,0
9068,1394,Personal Loan,16547.53,16.08,60,2023-03-04,Approved,63,51-65,Female,Full-time,65306,Middle Income,527,Poor,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9069,1194,Personal Loan,17969.4,17.61,60,2023-05-08,Defaulted,28,26-35,Male,Part-time,20461,Low Income,427,Poor,Hamilton,Ontario,Hamilton Main Branch,0,0,1
9070,1194,Personal Loan,14362.29,13.31,300,2024-09-13,Rejected,28,26-35,Male,Part-time,20461,Low Income,427,Poor,Hamilton,Ontario,Hamilton Main Branch,0,1,0
9071,1791,Business Loan,85281.8,16.68,24,2024-06-14,Rejected,45,36-50,Male,Retired,15343,Low Income,500,Poor,Quebec City,Quebec,Quebec City Main Branch,0,1,0
9072,1099,Personal Loan,4279.25,12.04,300,2024-06-21,Paid Off,43,36-50,Other,Full-time,59925,Middle Income,546,Poor,Regina,Saskatchewan,Regina Main Branch,0,0,0
9073,1650,Student Loan,16175.85,12.59,12,2024-02-07,Approved,66,66+,Female,Full-time,89249,High Income,637,Fair,Hamilton,Ontario,Hamilton Main Branch,1,0,0
9074,1892,Student Loan,23242.71,4.16,240,2024-01-24,Paid Off,34,26-35,Female,Full-time,54235,Middle Income,842,Excellent,Quebec City,Quebec,Quebec City Main Branch,0,0,0
9075,1326,Auto Loan,26028.43,15.01,60,2023-06-29,Paid Off,37,36-50,Male,Full-time,96042,High Income,534,Poor,Surrey,British Columbia,Surrey Main Branch,0,0,0
9076,1868,Business Loan,111084.31,13.84,60,2023-03-23,Approved,18,18-25,Female,Full-time,55497,Middle Income,510,Poor,Saskatoon,Saskatchewan,Saskatoon Main Branch,1,0,0
9077,1233,Personal Loan,12056.53,10.92,48,2023-06-05,Approved,66,66+,Male,Full-time,56404,Middle Income,601,Fair,Calgary,Alberta,Calgary Main Branch,1,0,0
9078,1233,Personal Loan,9590.81,12.52,48,2024-09-22,Approved,66,66+,Male,Full-time,56404,Middle Income,601,Fair,Calgary,Alberta,Calgary Main Branch,1,0,0
9079,1094,Auto Loan,12943.35,14.61,60,2024-09-26,Approved,62,51-65,Male,Part-time,59273,Middle Income,541,Poor,Surrey,British Columbia,Surrey Main Branch,1,0,0
9080,1991,Student Loan,21242.55,9.46,24,2024-09-13,Paid Off,65,51-65,Female,Full-time,73372,High Income,706,Good,Ottawa,Ontario,Ottawa Main Branch,0,0,0
9081,1287,Personal Loan,8297.09,9.02,48,2023-07-12,Approved,45,36-50,Male,Self-employed,89192,High Income,660,Fair,Halifax,Nova Scotia,Halifax Main Branch,1,0,0
9082,1298,Auto Loan,21145.19,10.17,120,2024-12-03,Approved,65,51-65,Female,Self-employed,110448,High Income,668,Fair,Surrey,British Columbia,Surrey Main Branch,1,0,0
9083,1014,Mortgage,224870.9,8.94,240,2023-07-03,Paid Off,70,66+,Female,Full-time,57055,Middle Income,626,Fair,Edmonton,Alberta,Edmonton Main Branch,0,0,0
9084,1014,Personal Loan,9372.96,10.34,300,2023-07-31,Rejected,70,66+,Female,Full-time,57055,Middle Income,626,Fair,Edmonton,Alberta,Edmonton Main Branch,0,1,0
9085,1351,Personal Loan,9090.51,15.13,48,2024-10-08,Paid Off,34,26-35,Male,Part-time,54494,Middle Income,596,Fair,Calgary,Alberta,Calgary Main Branch,0,0,0
9086,1738,Personal Loan,26724.15,14.17,300,2024-03-07,Approved,37,36-50,Other,Retired,41824,Middle Income,590,Fair,Halifax,Nova Scotia,Halifax Main Branch,1,0,0
9087,1327,Mortgage,366614.24,5.65,48,2023-05-19,Approved,52,51-65,Male,Full-time,71509,High Income,683,Good,Regina,Saskatchewan,Regina Main Branch,1,0,0
9088,1406,Mortgage,479217.37,14.02,36,2023-01-02,Approved,42,36-50,Male,Part-time,39110,Middle Income,635,Fair,Hamilton,Ontario,Hamilton Main Branch,1,0,0
9089,1720,Mortgage,468289.38,9.7,60,2023-01-29,Rejected,62,51-65,Female,Unemployed,12000,Low Income,605,Fair,Calgary,Alberta,Calgary Main Branch,0,1,0
9090,1751,Personal Loan,23338.75,13.58,60,2023-11-20,Approved,70,66+,Male,Full-time,54066,Middle Income,588,Fair,Toronto,Ontario,Toronto Main Branch,1,0,0
9091,2000,Business Loan,107795.34,10.49,120,2024-06-03,Paid Off,32,26-35,Male,Unemployed,17011,Low Income,564,Poor,Winnipeg,Manitoba,Winnipeg Main Branch,0,0,0
9092,1822,Student Loan,12813.46,5.76,240,2024-06-04,Approved,47,36-50,Male,Full-time,82932,High Income,708,Good,Saskatoon,Saskatchewan,Saskatoon Main Branch,1,0,0
9093,1822,Auto Loan,30677.85,6.72,120,2023-09-26,Approved,47,36-50,Male,Full-time,82932,High Income,708,Good,Saskatoon,Saskatchewan,Saskatoon Main Branch,1,0,0
9094,1705,Mortgage,393014.92,10.32,300,2023-11-14,Approved,19,18-25,Female,Retired,49717,Middle Income,666,Fair,Edmonton,Alberta,Edmonton Main Branch,1,0,0
9095,1469,Auto Loan,41088.79,12.9,24,2023-10-20,Approved,25,18-25,Male,Full-time,73772,High Income,676,Good,Regina,Saskatchewan,Regina Main Branch,1,0,0
9096,1168,Mortgage,377995.38,14.49,36,2024-07-28,Rejected,47,36-50,Male,Full-time,33900,Middle Income,498,Poor,Hamilton,Ontario,Hamilton Main Branch,0,1,0
9097,1168,Business Loan,161741.31,14.49,240,2023-08-26,Paid Off,47,36-50,Male,Full-time,33900,Middle Income,498,Poor,Hamilton,Ontario,Hamilton Main Branch,0,0,0
9098,1522,Personal Loan,21293.07,9.09,36,2024-03-11,Approved,68,66+,Female,Self-employed,90102,High Income,657,Fair,Brampton,Ontario,Brampton Main Branch,1,0,0
9099,1100,Auto Loan,18294.93,12.64,48,2023-04-10,Approved,42,36-50,Male,Full-time,83335,High Income,576,Poor,Halifax,Nova Scotia,Halifax Main Branch,1,0,0
9100,1647,Personal Loan,23766.75,16.42,36,2023-08-05,Approved,39,36-50,Other,Part-time,57819,Middle Income,569,Poor,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9101,1188,Business Loan,148133.96,8.91,48,2023-02-16,Paid Off,45,36-50,Male,Full-time,67073,Middle Income,612,Fair,Halifax,Nova Scotia,Halifax Main Branch,0,0,0
9102,1188,Personal Loan,22732.57,12.47,60,2023-09-26,Approved,45,36-50,Male,Full-time,67073,Middle Income,612,Fair,Halifax,Nova Scotia,Halifax Main Branch,1,0,0
9103,1152,Personal Loan,23049.9,12.51,36,2024-04-26,Approved,31,26-35,Female,Full-time,54090,Middle Income,549,Poor,Halifax,Nova Scotia,Halifax Main Branch,1,0,0
9104,1154,Personal Loan,23542.21,7.13,48,2024-02-04,Rejected,44,36-50,Female,Self-employed,76349,High Income,641,Fair,Vancouver,British Columbia,Vancouver Main Branch,0,1,0
9105,1291,Business Loan,120551.94,7.8,12,2023-10-23,Defaulted,48,36-50,Female,Part-time,35831,Middle Income,676,Good,Hamilton,Ontario,Hamilton Main Branch,0,0,1
9106,1393,Auto Loan,20592.02,16.73,240,2023-03-06,Approved,66,66+,Male,Full-time,46672,Middle Income,588,Fair,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9107,1994,Auto Loan,28689.02,17.71,24,2024-04-27,Rejected,53,51-65,Male,Unemployed,22730,Low Income,594,Fair,Edmonton,Alberta,Edmonton Main Branch,0,1,0
9108,1994,Personal Loan,20644.23,16.81,60,2024-05-11,Rejected,53,51-65,Male,Unemployed,22730,Low Income,594,Fair,Edmonton,Alberta,Edmonton Main Branch,0,1,0
9109,1797,Mortgage,296556.8,12.03,300,2024-04-12,Approved,45,36-50,Male,Full-time,38658,Middle Income,500,Poor,Mississauga,Ontario,Mississauga Main Branch,1,0,0
9110,1952,Mortgage,471549.65,13.03,120,2024-09-17,Defaulted,57,51-65,Female,Part-time,19691,Low Income,582,Fair,Vancouver,British Columbia,Vancouver Main Branch,0,0,1
9111,1842,Personal Loan,11520.03,14.43,36,2023-11-30,Defaulted,58,51-65,Male,Full-time,68539,Middle Income,508,Poor,Hamilton,Ontario,Hamilton Main Branch,0,0,1
9112,1842,Auto Loan,32721.26,10.46,36,2023-03-07,Paid Off,58,51-65,Male,Full-time,68539,Middle Income,508,Poor,Hamilton,Ontario,Hamilton Main Branch,0,0,0
9113,1364,Mortgage,403749.43,12.53,300,2023-08-25,Rejected,25,18-25,Male,Part-time,31989,Middle Income,561,Poor,Toronto,Ontario,Toronto Main Branch,0,1,0
9114,1191,Auto Loan,20147.11,11.34,48,2024-03-25,Approved,61,51-65,Male,Full-time,79946,High Income,660,Fair,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9115,1191,Personal Loan,19302.84,10.34,48,2024-11-03,Approved,61,51-65,Male,Full-time,79946,High Income,660,Fair,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9116,1008,Mortgage,322022.73,12.25,48,2024-02-20,Approved,56,51-65,Male,Full-time,62012,Middle Income,553,Poor,Vancouver,British Columbia,Vancouver Main Branch,1,0,0
9117,1663,Personal Loan,16602.99,10.35,60,2024-12-23,Approved,64,51-65,Female,Unemployed,14364,Low Income,505,Poor,Quebec City,Quebec,Quebec City Main Branch,1,0,0
9118,1713,Personal Loan,18790.24,15.0,60,2023-06-14,Paid Off,62,51-65,Female,Full-time,65627,Middle Income,574,Poor,Toronto,Ontario,Toronto Main Branch,0,0,0
9119,1713,Student Loan,14267.02,13.85,240,2023-06-17,Defaulted,62,51-65,Female,Full-time,65627,Middle Income,574,Poor,Toronto,Ontario,Toronto Main Branch,0,0,1
9120,1928,Auto Loan,23236.88,11.93,36,2023-04-30,Approved,34,26-35,Female,Full-time,50119,Middle Income,544,Poor,Saskatoon,Saskatchewan,Saskatoon Main Branch,1,0,0
9121,1333,Auto Loan,18570.03,14.25,60,2023-07-24,Rejected,35,26-35,Female,Self-employed,39597,Middle Income,566,Poor,Toronto,Ontario,Toronto Main Branch,0,1,0
9122,1920,Auto Loan,25501.85,10.45,36,2024-10-01,Approved,47,36-50,Male,Student,21695,Low Income,605,Fair,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9123,1920,Auto Loan,21214.27,10.44,36,2023-01-08,Rejected,47,36-50,Male,Student,21695,Low Income,605,Fair,Ottawa,Ontario,Ottawa Main Branch,0,1,0
9124,1241,Mortgage,254270.66,17.01,60,2023-12-13,Defaulted,18,18-25,Female,Full-time,82640,High Income,575,Poor,Winnipeg,Manitoba,Winnipeg Main Branch,0,0,1
9125,1241,Business Loan,119022.15,11.27,12,2024-03-03,Approved,18,18-25,Female,Full-time,82640,High Income,575,Poor,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9126,1703,Mortgage,292613.68,9.6,12,2024-10-26,Approved,67,66+,Male,Full-time,53765,Middle Income,626,Fair,Surrey,British Columbia,Surrey Main Branch,1,0,0
9127,1643,Personal Loan,32569.33,12.1,120,2024-08-03,Approved,66,66+,Male,Full-time,96229,High Income,646,Fair,Edmonton,Alberta,Edmonton Main Branch,1,0,0
9128,1643,Personal Loan,19561.3,11.52,12,2024-10-23,Approved,66,66+,Male,Full-time,96229,High Income,646,Fair,Edmonton,Alberta,Edmonton Main Branch,1,0,0
9129,1697,Personal Loan,16616.72,11.48,12,2023-10-20,Approved,24,18-25,Male,Full-time,47013,Middle Income,560,Poor,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9130,1132,Personal Loan,19931.27,11.83,60,2024-11-11,Rejected,50,36-50,Female,Student,30986,Middle Income,503,Poor,Regina,Saskatchewan,Regina Main Branch,0,1,0
9131,1969,Mortgage,446249.18,9.67,36,2024-07-24,Defaulted,39,36-50,Female,Full-time,74393,High Income,674,Good,Saskatoon,Saskatchewan,Saskatoon Main Branch,0,0,1
9132,1787,Auto Loan,41536.61,12.68,48,2024-08-05,Approved,41,36-50,Male,Part-time,48165,Middle Income,606,Fair,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9133,1787,Auto Loan,35123.46,9.58,36,2024-08-19,Approved,41,36-50,Male,Part-time,48165,Middle Income,606,Fair,Winnipeg,Manitoba,Winnipeg Main Branch,1,0,0
9134,1908,Auto Loan,30028.69,11.36,300,2024-02-03,Approved,51,51-65,Female,Retired,35393,Middle Income,599,Fair,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9135,1854,Auto Loan,47230.53,15.0,120,2023-05-26,Rejected,20,18-25,Female,Full-time,52968,Middle Income,485,Poor,Toronto,Ontario,Toronto Main Branch,0,1,0
9136,1812,Mortgage,224149.41,13.97,36,2024-12-12,Defaulted,63,51-65,Male,Full-time,55297,Middle Income,568,Poor,Calgary,Alberta,Calgary Main Branch,0,0,1
9137,1307,Auto Loan,26382.19,14.88,12,2023-04-10,Approved,49,36-50,Female,Part-time,23277,Low Income,420,Poor,Surrey,British Columbia,Surrey Main Branch,1,0,0
9138,1307,Auto Loan,21316.07,14.61,120,2023-09-21,Approved,49,36-50,Female,Part-time,23277,Low Income,420,Poor,Surrey,British Columbia,Surrey Main Branch,1,0,0
9139,1698,Personal Loan,14457.04,10.06,12,2024-04-06,Rejected,63,51-65,Female,Self-employed,99092,High Income,661,Fair,Quebec City,Quebec,Quebec City Main Branch,0,1,0
9140,1988,Mortgage,618831.21,14.77,36,2023-10-24,Rejected,64,51-65,Female,Unemployed,12664,Low Income,576,Poor,Vancouver,British Columbia,Vancouver Main Branch,0,1,0
9141,1988,Personal Loan,19738.98,13.18,60,2024-11-08,Approved,64,51-65,Female,Unemployed,12664,Low Income,576,Poor,Vancouver,British Columbia,Vancouver Main Branch,1,0,0
9142,1454,Mortgage,469685.66,14.09,24,2023-06-19,Defaulted,49,36-50,Male,Full-time,33181,Middle Income,586,Fair,Calgary,Alberta,Calgary Main Branch,0,0,1
9143,1510,Auto Loan,20066.13,12.27,48,2023-04-11,Approved,62,51-65,Male,Full-time,77764,High Income,664,Fair,Surrey,British Columbia,Surrey Main Branch,1,0,0
9144,1086,Auto Loan,30413.3,15.5,12,2024-05-30,Approved,65,51-65,Female,Full-time,64844,Middle Income,571,Poor,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9145,1377,Student Loan,19367.0,13.2,240,2023-10-05,Approved,21,18-25,Female,Full-time,85105,High Income,615,Fair,Vancouver,British Columbia,Vancouver Main Branch,1,0,0
9146,1125,Business Loan,38078.62,15.01,48,2023-03-01,Defaulted,58,51-65,Male,Full-time,73939,High Income,580,Fair,Regina,Saskatchewan,Regina Main Branch,0,0,1
9147,1458,Business Loan,83072.9,12.28,36,2024-11-10,Approved,42,36-50,Female,Self-employed,17778,Low Income,667,Fair,Edmonton,Alberta,Edmonton Main Branch,1,0,0
9148,1808,Mortgage,312504.16,8.2,60,2024-10-19,Approved,45,36-50,Other,Full-time,61057,Middle Income,629,Fair,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9149,1808,Personal Loan,8782.44,9.32,36,2024-08-11,Approved,45,36-50,Other,Full-time,61057,Middle Income,629,Fair,Ottawa,Ontario,Ottawa Main Branch,1,0,0
9150,1931,Auto Loan,23061.55,14.23,24,2024-01-03,Approved,37,36-50,Female,Part-time,60757,Middle Income,547,Poor,Calgary,Alberta,Calgary Main Branch,1,0,0
9151,1881,Auto Loan,32402.91,9.91,36,2023-09-15,Approved,56,51-65,Female,Part-time,29540,Low Income,505,Poor,Mississauga,Ontario,Mississauga Main Branch,1,0,0
